description,category
"gros souci avec le circuit d'huile, il est bouché.",Hydraulique
"j'ai un problème, le windows demande un mot de passe complètement.",Software
"Impossible d'utiliser la machine, le application est figé.",Software
Le miroir ne fait plus le point.,Optique
"gros souci avec le résistance, il ne répond plus.",Electronique
défaut sur objectif : il est rayé.,Optique
Erreur détectée : licence a crashé.,Software
"impossible d'utiliser la machine, le circuit imprimé fume.",Electronique
"J'ai un problème, le connecteur de charge a grillé complètement.",Electronique
"J'ai un problème, le vérin est sec complètement.",Hydraulique
Défaut sur diaphragme : il est sale.,Optique
Défaut sur interface : il ne démarre pas.,Software
"Gros souci avec le tuyau, il refoule du liquide.",Hydraulique
Le windows a planté.,Software
Il semble que le carte mère surchauffe depuis ce matin.,Electronique
Erreur détectée : fusible ne s'allume plus.,Electronique
Erreur détectée : vérin fuit.,Hydraulique
"gros souci avec le image, il est cassé.",Optique
"impossible d'utiliser la machine, le fusible surchauffe.",Electronique
Erreur détectée : image est cassé.,Optique
"Impossible d'utiliser la machine, le base de données demande un mot de passe.",Software
Le client signale que le résistance a fondu.,Electronique
"impossible d'utiliser la machine, le valve fait un bruit de gargouillis.",Hydraulique
Erreur détectée : batterie est brûlant.,Electronique
le client signale que le connexion est corrompu.,Software
"impossible d'utiliser la machine, le bouton power surchauffe.",Electronique
"Gros souci avec le disjoncteur, il a explosé.",Electronique
"impossible d'utiliser la machine, le viseur manque de netteté.",Optique
"impossible d'utiliser la machine, le connecteur de charge surchauffe.",Electronique
"Impossible d'utiliser la machine, le interface demande un mot de passe.",Software
Il semble que le joint a éclaté depuis ce matin.,Hydraulique
Il semble que le joint n'aspire plus depuis ce matin.,Hydraulique
erreur détectée : réservoir vibre énormément.,Hydraulique
le client signale que le application a crashé.,Software
Le image est bloqué.,Optique
"impossible d'utiliser la machine, le serveur ne démarre pas.",Software
Il semble que le vanne refoule du liquide depuis ce matin.,Hydraulique
il semble que le raccord est sec depuis ce matin.,Hydraulique
le joint est percé.,Hydraulique
Il semble que le viseur est flou depuis ce matin.,Optique
Erreur détectée : image est flou.,Optique
Le bouton power a grillé.,Electronique
défaut sur driver : il boucle à l'infini.,Software
Il semble que le diaphragme manque de netteté depuis ce matin.,Optique
"Attention, système qui est corrompu !",Software
Le client signale que le manomètre n'aspire plus.,Hydraulique
le client signale que le application ne répond pas.,Software
"gros souci avec le base de données, il ne répond pas.",Software
erreur détectée : miroir ne fait plus le point.,Optique
"J'ai un problème, le application est corrompu complètement.",Software
"Attention, joint qui est sec !",Hydraulique
Erreur détectée : serveur boucle à l'infini.,Software
"Impossible d'utiliser la machine, le focus est cassé.",Optique
le client signale que le logiciel est lent.,Software
Défaut sur condensateur : il sent le brûlé.,Electronique
"Attention, prisme qui manque de netteté !",Optique
"J'ai un problème, le windows renvoie une erreur 404 complètement.",Software
le client signale que le diaphragme a de la poussière interne.,Optique
Erreur détectée : valve est bouché.,Hydraulique
"impossible d'utiliser la machine, le batterie fume.",Electronique
"Gros souci avec le windows, il ne répond pas.",Software
"J'ai un problème, le résistance clignote en rouge complètement.",Electronique
Le client signale que le raccord est percé.,Hydraulique
"Gros souci avec le système, il a planté.",Software
"J'ai un problème, le réservoir fait un bruit de gargouillis complètement.",Hydraulique
"attention, application qui est lent !",Software
Défaut sur logiciel : il boucle à l'infini.,Software
Le client signale que le disjoncteur a explosé.,Electronique
"attention, windows qui est corrompu !",Software
"Gros souci avec le interface, il affiche un écran bleu.",Software
"gros souci avec le circuit d'huile, il refoule du liquide.",Hydraulique
panne critique : mise à jour a crashé.,Software
erreur détectée : image a de la poussière interne.,Optique
"impossible d'utiliser la machine, le mise à jour affiche un écran bleu.",Software
il semble que le joint est grippé depuis ce matin.,Hydraulique
"Gros souci avec le piston, il refoule du liquide.",Hydraulique
Il semble que le batterie surchauffe depuis ce matin.,Electronique
défaut sur interface : il a planté.,Software
défaut sur linux : il est figé.,Software
Le client signale que le transformateur ne s'allume plus.,Electronique
il semble que le vérin n'aspire plus depuis ce matin.,Hydraulique
il semble que le prisme est rayé depuis ce matin.,Optique
erreur détectée : licence est lent.,Software
panne critique : vérin vibre énormément.,Hydraulique
le client signale que le linux boucle à l'infini.,Software
"attention, disjoncteur qui est en court-circuit !",Electronique
"Impossible d'utiliser la machine, le capteur a de la poussière interne.",Optique
Le client signale que le valve est sec.,Hydraulique
Défaut sur logiciel : il est lent.,Software
"Attention, résistance qui est en court-circuit !",Electronique
"Attention, lentille qui est voilé !",Optique
Le mise à jour a expiré.,Software
"impossible d'utiliser la machine, le obturateur est voilé.",Optique
"attention, mise à jour qui est corrompu !",Software
Le capteur est désaligné.,Optique
"impossible d'utiliser la machine, le led a explosé.",Electronique
Défaut sur batterie : il clignote en rouge.,Electronique
"Attention, mise à jour qui ne démarre pas !",Software
Défaut sur linux : il ne répond pas.,Software
panne critique : mise au point est bloqué.,Optique
il semble que le mise au point est déformé depuis ce matin.,Optique
"Gros souci avec le viseur, il est rayé.",Optique
"impossible d'utiliser la machine, le linux a expiré.",Software
il semble que le licence ne démarre pas depuis ce matin.,Software
le vérin fuit.,Hydraulique
"Attention, circuit imprimé qui est noirci !",Electronique
Il semble que le lentille ne fait plus le point depuis ce matin.,Optique
Il semble que le joint siffle fort depuis ce matin.,Hydraulique
"J'ai un problème, le base de données a planté complètement.",Software
Panne critique : système est lent.,Software
Il semble que le valve perd de la pression depuis ce matin.,Hydraulique
Le mise à jour a planté.,Software
"Attention, focus qui est rayé !",Optique
défaut sur image : il est désaligné.,Optique
défaut sur filtre : il perd de la pression.,Hydraulique
"j'ai un problème, le tuyau a éclaté complètement.",Hydraulique
"gros souci avec le obturateur, il manque de netteté.",Optique
"j'ai un problème, le vérin est grippé complètement.",Hydraulique
"Impossible d'utiliser la machine, le capteur a de la poussière interne.",Optique
erreur détectée : led est brûlant.,Electronique
Défaut sur zoom : il a de la poussière interne.,Optique
Panne critique : pompe refoule du liquide.,Hydraulique
"Gros souci avec le objectif, il est voilé.",Optique
"gros souci avec le image, il est bloqué.",Optique
"J'ai un problème, le LED surchauffe complètement.",Electronique
"j'ai un problème, le led a explosé complètement.",Electronique
"J'ai un problème, le vérin fuit complètement.",Hydraulique
Défaut sur transformateur : il sent le brûlé.,Electronique
il semble que le vérin perd de la pression depuis ce matin.,Hydraulique
Erreur détectée : application ne démarre pas.,Software
il semble que le transformateur clignote en rouge depuis ce matin.,Electronique
panne critique : transformateur clignote en rouge.,Electronique
"Attention, diaphragme qui est rayé !",Optique
Le client signale que le windows ne répond pas.,Software
Erreur détectée : système demande un mot de passe.,Software
défaut sur interface : il a expiré.,Software
"attention, prisme qui est voilé !",Optique
"impossible d'utiliser la machine, le disjoncteur est noirci.",Electronique
Panne critique : carte mère ne s'allume plus.,Electronique
Le client signale que le tuyau siffle fort.,Hydraulique
Défaut sur prisme : il manque de netteté.,Optique
"impossible d'utiliser la machine, le licence renvoie une erreur 404.",Software
Il semble que le carte mère sent le brûlé depuis ce matin.,Electronique
Panne critique : base de données renvoie une erreur 404.,Software
"J'ai un problème, le système demande un mot de passe complètement.",Software
Le client signale que le circuit d'huile fuit.,Hydraulique
"impossible d'utiliser la machine, le alimentation fume.",Electronique
le circuit imprimé a fondu.,Electronique
Il semble que le bouton power fait des étincelles depuis ce matin.,Electronique
Erreur détectée : focus est bloqué.,Optique
Erreur détectée : LED ne charge pas.,Electronique
"J'ai un problème, le driver a expiré complètement.",Software
erreur détectée : interface renvoie une erreur 404.,Software
le client signale que le capteur est flou.,Optique
panne critique : valve n'aspire plus.,Hydraulique
"Gros souci avec le windows, il a expiré.",Software
le client signale que le viseur est désaligné.,Optique
Panne critique : réservoir vibre énormément.,Hydraulique
panne critique : valve a éclaté.,Hydraulique
il semble que le linux boucle à l'infini depuis ce matin.,Software
"J'ai un problème, le système a expiré complètement.",Software
"J'ai un problème, le système a crashé complètement.",Software
"Attention, réservoir qui perd de la pression !",Hydraulique
Défaut sur miroir : il ne fait plus le point.,Optique
"impossible d'utiliser la machine, le miroir a de la poussière interne.",Optique
il semble que le linux ne répond pas depuis ce matin.,Software
il semble que le focus manque de netteté depuis ce matin.,Optique
Défaut sur batterie : il a grillé.,Electronique
panne critique : obturateur est sale.,Optique
Erreur détectée : lentille est voilé.,Optique
Il semble que le objectif a des taches depuis ce matin.,Optique
défaut sur miroir : il est bloqué.,Optique
"Attention, driver qui est figé !",Software
"j'ai un problème, le driver affiche un écran bleu complètement.",Software
"Attention, logiciel qui est figé !",Software
erreur détectée : focus ne fait plus le point.,Optique
"Attention, réservoir qui fuit !",Hydraulique
Le capteur est sale.,Optique
défaut sur prisme : il est rayé.,Optique
il semble que le interface demande un mot de passe depuis ce matin.,Software
"Attention, viseur qui est déformé !",Optique
Le logiciel est corrompu.,Software
"Attention, connecteur de charge qui a grillé !",Electronique
le valve a éclaté.,Hydraulique
défaut sur résistance : il sent le brûlé.,Electronique
défaut sur piston : il perd de la pression.,Hydraulique
Erreur détectée : mise au point est déformé.,Optique
Le application a crashé.,Software
Défaut sur circuit d'huile : il n'aspire plus.,Hydraulique
"J'ai un problème, le focus est cassé complètement.",Optique
Le client signale que le image est sale.,Optique
"impossible d'utiliser la machine, le mise à jour affiche un écran bleu.",Software
"gros souci avec le bouton power, il ne répond plus.",Electronique
Le circuit imprimé ne charge pas.,Electronique
défaut sur focus : il est sale.,Optique
défaut sur viseur : il est voilé.,Optique
erreur détectée : circuit imprimé sent le brûlé.,Electronique
"j'ai un problème, le vanne vibre énormément complètement.",Hydraulique
"Gros souci avec le licence, il ne répond pas.",Software
Il semble que le linux est lent depuis ce matin.,Software
"attention, câble usb qui est brûlant !",Electronique
Défaut sur valve : il vibre énormément.,Hydraulique
défaut sur zoom : il a des taches.,Optique
erreur détectée : filtre siffle fort.,Hydraulique
Panne critique : câble USB a explosé.,Electronique
Le client signale que le batterie sent le brûlé.,Electronique
défaut sur pompe : il perd de la pression.,Hydraulique
Le capteur a de la poussière interne.,Optique
"Impossible d'utiliser la machine, le serveur a crashé.",Software
"gros souci avec le réservoir, il est sec.",Hydraulique
"j'ai un problème, le joint fait un bruit de gargouillis complètement.",Hydraulique
Panne critique : connecteur de charge clignote en rouge.,Electronique
"attention, câble usb qui est brûlant !",Electronique
Le client signale que le prisme est cassé.,Optique
erreur détectée : joint fait un bruit de gargouillis.,Hydraulique
"j'ai un problème, le lentille est flou complètement.",Optique
Le client signale que le carte mère a grillé.,Electronique
"Gros souci avec le mise à jour, il est corrompu.",Software
"gros souci avec le filtre, il siffle fort.",Hydraulique
le client signale que le mise à jour boucle à l'infini.,Software
Le windows est figé.,Software
erreur détectée : logiciel ne démarre pas.,Software
"Impossible d'utiliser la machine, le carte mère fume.",Electronique
erreur détectée : résistance a fondu.,Electronique
Le client signale que le prisme est bloqué.,Optique
"attention, diaphragme qui est bloqué !",Optique
il semble que le viseur est rayé depuis ce matin.,Optique
Il semble que le joint siffle fort depuis ce matin.,Hydraulique
"Gros souci avec le tuyau, il vibre énormément.",Hydraulique
Le logiciel a planté.,Software
le client signale que le bouton power est brûlant.,Electronique
"Attention, carte mère qui a grillé !",Electronique
Il semble que le écran ne charge pas depuis ce matin.,Electronique
le système ne démarre pas.,Software
défaut sur logiciel : il a expiré.,Software
le pompe vibre énormément.,Hydraulique
"j'ai un problème, le mise au point est désaligné complètement.",Optique
Il semble que le câble USB ne s'allume plus depuis ce matin.,Electronique
il semble que le système boucle à l'infini depuis ce matin.,Software
"j'ai un problème, le vérin refoule du liquide complètement.",Hydraulique
"J'ai un problème, le vérin siffle fort complètement.",Hydraulique
erreur détectée : joint n'aspire plus.,Hydraulique
Défaut sur obturateur : il est désaligné.,Optique
Il semble que le pompe est sec depuis ce matin.,Hydraulique
panne critique : raccord est grippé.,Hydraulique
défaut sur fusible : il clignote en rouge.,Electronique
"Impossible d'utiliser la machine, le circuit imprimé fait des étincelles.",Electronique
défaut sur logiciel : il boucle à l'infini.,Software
Panne critique : base de données est corrompu.,Software
Le client signale que le valve a éclaté.,Hydraulique
erreur détectée : focus est sale.,Optique
Panne critique : linux est figé.,Software
"j'ai un problème, le interface est corrompu complètement.",Software
le client signale que le led est brûlant.,Electronique
